NO_OF_FRAMES	6345
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:12:12.664	27737.25340530
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
60	0.59000	1022.96327	-17.44719	304.49495	0.87699	0.28594	-0.00379	0.47032	0.99999	0.00001	-0.00499	0.00007	0.99988	0.01531	0.00499	-0.01531	0.99987		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
61	0.60000	1023.17060	-17.77127	304.61639	0.90250	0.28983	0.06199	0.49264	0.99999	0.00116	-0.00504	-0.00108	0.99988	0.01576	0.00506	-0.01575	0.99986		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
62	0.61000	1023.35673	-18.14268	304.64741	0.94287	0.33105	0.14187	0.49917	0.99998	0.00257	-0.00574	-0.00248	0.99986	0.01647	0.00578	-0.01646	0.99985		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
63	0.62000	1023.63305	-18.56084	304.65409	1.04257	0.38865	0.22742	0.46530	0.99997	0.00409	-0.00671	-0.00397	0.99983	0.01822	0.00678	-0.01819	0.99981		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
64	0.63000	1023.86275	-18.92306	304.83547	1.11097	0.44182	0.29569	0.45800	0.99996	0.00531	-0.00761	-0.00516	0.99980	0.01943	0.00771	-0.01939	0.99978		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
65	0.64000	1024.10993	-19.30921	305.05544	1.23640	0.50288	0.35579	0.44626	0.99994	0.00640	-0.00864	-0.00621	0.99975	0.02163	0.00878	-0.02158	0.99973		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
66	0.65000	1024.36103	-19.68784	305.24791	1.35277	0.55841	0.40129	0.42599	0.99993	0.00723	-0.00958	-0.00700	0.99970	0.02368	0.00975	-0.02361	0.99967		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
67	0.66000	1024.57387	-20.04597	305.36022	1.42855	0.58515	0.44957	0.42035	0.99992	0.00810	-0.01001	-0.00785	0.99966	0.02501	0.01021	-0.02493	0.99964		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
68	0.67000	1024.82757	-20.43528	305.45974	1.48043	0.60157	0.50442	0.43124	0.99991	0.00907	-0.01027	-0.00880	0.99963	0.02593	0.01050	-0.02583	0.99961		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
69	0.68000	1025.02508	-20.79534	305.55342	1.49709	0.60125	0.54916	0.45326	0.99990	0.00986	-0.01024	-0.00958	0.99961	0.02623	0.01049	-0.02612	0.99960		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
70	0.69000	1025.23388	-21.14523	305.63462	1.53411	0.59245	0.58573	0.47901	0.99989	0.01050	-0.01006	-0.01022	0.99959	0.02688	0.01034	-0.02677	0.99959		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
71	0.70000	1025.42555	-21.41757	305.74706	1.58873	0.62337	0.61142	0.48761	0.99988	0.01097	-0.01058	-0.01067	0.99956	0.02784	0.01088	-0.02772	0.99956		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
72	0.71000	1025.61104	-21.68821	305.92079	1.65873	0.68002	0.62962	0.43835	0.99987	0.01133	-0.01154	-0.01099	0.99952	0.02907	0.01187	-0.02894	0.99951		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
73	0.72000	1025.79334	-21.89814	306.10529	1.72523	0.71870	0.65159	0.41705	0.99986	0.01174	-0.01219	-0.01137	0.99948	0.03025	0.01254	-0.03010	0.99947		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
